2015 rank,City,State,2015 estimate,2010 Census,Change,2014 land area,2010 population density,Location
240,Provo,Utah,115264,112488,0.024678188,41.7 sq mi,"2,699 per sq mi",40.2453°N 111.6448°W
241,Peoria,Illinois,115070,115007,0.000547793,48.0 sq mi,"2,396 per sq mi",40.7523°N 89.6171°W
242,Lansing,Michigan,115056,114297,0.006640594,36.0 sq mi,"3,171 per sq mi",42.7098°N 84.5562°W
243,Downey,California,114219,111772,0.021892782,12.4 sq mi,"9,008 per sq mi",33.9382°N 118.1309°W
244,Carlsbad,California,113453,105328,0.077139982,37.7 sq mi,"2,792 per sq mi",33.1239°N 117.2828°W
245,Costa Mesa,California,113204,109960,0.029501637,15.7 sq mi,"7,025 per sq mi",33.6659°N 117.9123°W
246,Miami Gardens,Florida,113187,107167,0.056174009,18.2 sq mi,"5,878 per sq mi",25.9489°N 80.2436°W
247,Westminster,Colorado,113130,106114,0.066117572,31.6 sq mi,"3,363 per sq mi",39.8822°N 105.0644°W
248,Clearwater,Florida,113003,107685,0.04938478,25.6 sq mi,"4,213 per sq mi",27.9795°N 82.7663°W
249,Fairfield,California,112970,105321,0.072625592,37.4 sq mi,"2,817 per sq mi",38.2568°N 122.0397°W
250,Rochester,Minnesota,112225,106769,0.051100975,54.6 sq mi,"1,956 per sq mi",44.0154°N 92.4772°W
251,Elgin,Illinois,112111,108188,0.036260953,37.2 sq mi,"2,911 per sq mi",42.0396°N 88.3217°W
252,Temecula,California,112011,100097,0.119024546,30.2 sq mi,"3,320 per sq mi",33.5019°N 117.1246°W
253,West Jordan,Utah,111946,103712,0.079392934,32.5 sq mi,"3,195 per sq mi",40.6023°N 112.0010°W
254,Inglewood,California,111666,109673,0.018172203,9.1 sq mi,"12,095 per sq mi",33.9561°N 118.3443°W
255,Richardson,Texas,110815,99223,0.116827752,28.6 sq mi,"3,474 per sq mi",32.9723°N 96.7081°W
256,Lowell,Massachusetts,110699,106519,0.039241825,13.6 sq mi,"7,842 per sq mi",42.6389°N 71.3221°W
257,Gresham,Oregon,110553,105594,0.046962896,23.2 sq mi,"4,551 per sq mi",45.5023°N 122.4416°W
258,Antioch,California,110542,102372,0.079806978,28.3 sq mi,"3,611 per sq mi",37.9775°N 121.7976°W
259,Cambridge,Massachusetts,110402,105162,0.049827885,6.4 sq mi,"16,469 per sq mi",42.3760°N 71.1183°W
260,High Point,North Carolina,110268,104371,0.056500369,53.8 sq mi,"1,940 per sq mi",35.9855°N 79.9902°W
261,Billings,Montana,110263,104170,0.058490928,43.4 sq mi,"2,399 per sq mi",45.7895°N 108.5499°W
262,Manchester,New Hampshire,110229,109565,0.006060329,33.1 sq mi,"3,310 per sq mi",42.9847°N 71.4439°W
263,Murrieta,California,109830,103466,0.061508128,33.6 sq mi,"3,081 per sq mi",33.5719°N 117.1907°W
264,Centennial,Colorado,109741,100377,0.093288303,28.7 sq mi,"3,495 per sq mi",39.5906°N 104.8691°W
265,Richmond,California,109709,103701,0.057935796,30.1 sq mi,"3,449 per sq mi",37.9530°N 122.3594°W
266,Ventura,California,109708,106433,0.030770532,21.7 sq mi,"4,915 per sq mi",34.2681°N 119.2550°W
267,Pueblo,Colorado,109412,106595,0.026427131,53.6 sq mi,"1,987 per sq mi",38.2731°N 104.6124°W
268,Pearland,Texas,108821,91252,0.192532766,47.5 sq mi,"1,900 per sq mi",29.5544°N 95.2958°W
269,Waterbury,Connecticut,108802,110366,-0.014171031,28.5 sq mi,"3,870 per sq mi",41.5585°N 73.0367°W
270,West Covina,California,108484,106098,0.022488643,16.0 sq mi,"6,614 per sq mi",34.0559°N 117.9099°W
271,North Charleston,South Carolina,108304,97471,0.11114075,76.6 sq mi,"1,393 per sq mi",32.8853°N 80.0169°W
272,Everett,Washington,108010,103019,0.048447374,33.4 sq mi,"3,080 per sq mi",48.0033°N 122.1742°W
273,College Station,Texas,107889,93857,0.149504033,49.6 sq mi,"1,978 per sq mi",30.6013°N 96.3144°W
274,Palm Bay,Florida,107888,103190,0.045527667,65.7 sq mi,"1,571 per sq mi",27.9856°N 80.6626°W
275,Pompano Beach,Florida,107762,99845,0.079292904,24.0 sq mi,"4,160 per sq mi",26.2426°N 80.1290°W
276,Boulder,Colorado,107349,97385,0.102315552,25.7 sq mi,"3,947 per sq mi",40.0175°N 105.2797°W
277,Norwalk,California,107140,105549,0.015073568,9.7 sq mi,"10,873 per sq mi",33.9069°N 118.0834°W
278,West Palm Beach,Florida,106779,99919,0.068655611,55.3 sq mi,"1,807 per sq mi",26.7483°N 80.1266°W
279,Broken Arrow,Oklahoma,106563,98850,0.078027314,61.6 sq mi,"1,605 per sq mi",36.0365°N 95.7810°W
280,Daly City,California,106562,101123,0.053785983,7.7 sq mi,"13,195 per sq mi",37.7009°N 122.4650°W
281,Sandy Springs,Georgia,105330,93853,0.122286981,39.0 sq mi,"2,613.0 per sq mi",33.5615°N 84.227°W
282,Burbank,California,105319,103340,0.019150377,17.3 sq mi,"5,959 per sq mi",34.1890°N 118.3249°W
283,Green Bay,Wisconsin,105207,104057,0.011051635,45.5 sq mi,"2,289 per sq mi",44.5207°N 87.9842°W
284,Santa Maria,California,105093,99553,0.05564875,22.8 sq mi,"4,375 per sq mi",34.9332°N 120.4438°W
285,Wichita Falls,Texas,104710,104553,0.001501631,72.1 sq mi,"1,449 per sq mi",33.9067°N 98.5259°W
286,Lakeland,Florida,104401,97422,0.071636797,74.4 sq mi,"1,711 per sq mi",28.0411°N 81.9589°W
287,Clovis,California,104180,95631,0.089395698,23.3 sq mi,"4,386 per sq mi",36.4931°N 119.4211°W
288,Lewisville,Texas,104039,95290,0.091814461,42.5 sq mi,"2,618 per sq mi",33.0383°N 97.0061°W
289,Tyler,Texas,103700,96900,0.070175439,54.4 sq mi,"1,782 per sq mi",32.35°N 95.30°W
290,El Cajon,California,103679,99478,0.042230443,14.4 sq mi,"6,892 per sq mi",32.8017°N 116.9605°W
291,San Mateo,California,103536,97207,0.06510848,15.9 sq mi,"8,014 per sq mi",37.5542°N 122.3131°W
292,Rialto,California,103132,99171,0.039941112,22.4 sq mi,"4,437 per sq mi",34.1118°N 117.3883°W
293,Edison,New Jersey,102701,99967,0.027349025,30.6 sq mi,"3,339.0 per sq mi",40.5040°N 74.3494°W
294,Davenport,Iowa,102582,99685,0.029061544,62.9 sq mi,"1,584 per sq mi",41.5541°N 90.6040°W
295,Hillsboro,Oregon,102347,91611,0.117191167,24.3 sq mi,"3,833 per sq mi",45.5167°N 122.9833°W
296,Woodbridge,New Jersey,102105,99585,0.025305016,24.5 sq mi,"4,290.0 per sq mi",40.5608°N 74.2926°W
297,Las Cruces,New Mexico,101643,97618,0.04123215,76.3 sq mi,"1,279 per sq mi",32.3197°N 106.7653°W
298,South Bend,Indiana,101516,101168,0.003439823,41.5 sq mi,"2,440 per sq mi",41.6769°N 86.2690°W
299,Vista,California,100890,93834,0.075196624,18.7 sq mi,"5,000 per sq mi",33.1936°N 117.2411°W
300,Greeley,Colorado,100883,92889,0.086059706,30.0 sq mi,"3,107 per sq mi",40.4167°N 104.7167°W
301,Davie,Florida,100882,91992,0.096638838,35.7 sq mi,"2,637 per sq mi",26.0814°N 80.2803°W
302,San Angelo,Texas,100450,93200,0.0777897,58.2 sq mi,"1,640 per sq mi",31.45°N 100.45°W
303,Jurupa Valley,California,100314,0,#DIV/0!,43.5 sq mi,"2,272 per sq mi",33.0011°N 117.4706°W
304,Renton,Washington,100242,90927,0.102444818,23.5 sq mi,"3,933 per sq mi",47.4867°N 122.1953°W
